customer_id,film_id,store_id,rental_id,rental_price,rental_duration,late_fees
1,132,2,2308,4.99,1.0,0.0
1,167,1,15298,2.99,0.0,0.0
1,17,1,4611,5.99,3.0,0.0
1,190,2,11367,0.99,5.0,0.0
1,211,1,3284,3.99,2.0,0.0
1,23,1,1725,4.99,8.0,5.0
1,287,2,76,2.99,1.0,0.0
1,305,2,1422,0.99,9.0,3.0
1,319,1,9571,2.99,1.0,0.0
1,324,1,14762,0.99,9.0,6.0
1,329,1,8116,0.99,8.0,4.0
1,341,2,1185,5.99,1.0,0.0
1,397,2,15315,5.99,4.0,0.0
1,434,2,8033,4.99,7.0,4.0
1,469,2,8074,0.99,0.0,0.0
1,489,1,4526,5.99,6.0,2.0
1,534,2,7841,4.99,6.0,1.0
1,583,1,11824,4.99,3.0,0.0
1,604,2,6163,7.99,3.0,0.0
1,625,2,2363,0.99,5.0,2.0
1,644,1,8326,2.99,2.0,0.0
1,665,2,11299,3.99,8.0,4.0
1,668,1,12250,0.99,0.0,0.0
1,697,1,13176,2.99,3.0,0.0
1,775,2,5244,4.99,2.0,0.0
1,798,2,5326,4.99,3.0,0.0
1,81,1,13068,0.99,4.0,0.0
1,849,1,573,0.99,7.0,1.0
1,876,1,14825,1.99,1.0,0.0
1,891,1,7273,2.99,4.0,1.0
1,91,2,1476,9.99,3.0,0.0
1,917,1,10437,4.99,7.0,4.0
2,133,1,10136,2.99,7.0,0.0
2,174,2,14743,5.99,8.0,2.0
2,191,1,10918,0.99,1.0,0.0
2,204,1,7459,5.99,1.0,0.0
2,21,2,11256,2.99,9.0,6.0
2,241,1,8230,5.99,2.0,0.0
2,259,1,8598,2.99,4.0,0.0
2,26,1,5755,6.99,1.0,0.0
2,301,2,7376,5.99,6.0,2.0
2,418,2,2128,2.99,6.0,1.0
2,438,2,9248,0.99,5.0,2.0
2,535,1,15907,4.99,8.0,2.0
2,570,2,9465,6.99,7.0,2.0
2,573,1,11177,6.99,3.0,0.0
2,601,1,11087,5.99,3.0,0.0
2,609,2,9236,10.99,1.0,0.0
2,619,2,14475,4.99,2.0,0.0
2,625,2,12963,2.99,3.0,0.0
2,633,2,8705,5.99,5.0,0.0
2,681,2,15145,4.99,5.0,1.0
2,767,1,9296,6.99,3.0,0.0
2,826,2,10466,0.99,8.0,1.0
2,827,2,7346,4.99,4.0,0.0
2,944,2,11614,2.99,6.0,0.0
2,970,1,5636,2.99,6.0,0.0
2,972,2,9031,4.99,1.0,0.0
2,,,320,4.99,,
3,163,2,7911,4.99,8.0,4.0
3,199,2,15038,0.99,6.0,2.0
